--- Lv1: はじめての熟語 (超基本) ---
青空,あおぞら,晴れ渡った空,台風が過ぎ去り、気持ちのいい{{target}}が広がっている。
安心,あんしん,心が落ち着く,親の声を聞いて{{target}}した。
安全,あんぜん,危険がない,工事現場で{{target}}を確認する。
一番,いちばん,最も優れている,かけっこで{{target}}になった。
右折,うせつ,右に曲がる,交差点を{{target}}する。
左折,させつ,左に曲がる,次の角を{{target}}してください。
王様,おうさま,国を治める人,絵本に出てくる{{target}}。
音色,ねいろ,音の響き,ピアノの美しい{{target}}に聞き惚れる。
円高,えんだか,円の価値が上がる,急激な{{target}}で輸入品が安くなる。
--- Lv2-4: 日常・社会・感情 (語彙力アップ) ---
友情,ゆうじょう,友達を思う心,困難を共に乗り越えて{{target}}が深まった。
希望,きぼう,未来への願い,どんなに辛くても{{target}}を捨ててはいけない。
未来,みらい,これから来る時,子供たちの輝かしい{{target}}のために努力する。
幸福,こうふく,幸せなこと,家族みんなで過ごす時間に{{target}}を感じる。
平和,へいわ,争いがないこと,世界の{{target}}を心から祈る。
自由,じゆう,束縛がないこと,鳥のように大空を{{target}}に飛び回りたい。
正解,せいかい,正しい答え,クイズの{{target}}が分かってスッキリした。
失敗,しっぱい,やり損なうこと,{{target}}は成功のもとと言うし、気にせず次に行こう。
成功,せいこう,うまくいくこと,長年の努力が実り、ついに実験に{{target}}した。
約束,やくそく,取り決め,友達と遊ぶ{{target}}をして指切りをした。
秘密,ひみつ,隠しておくこと,これは二人だけの{{target}}だよ。
発見,はっけん,見つけること,新種の昆虫を{{target}}してニュースになった。
発明,はつめい,新しく作ること,エジソンは電球を{{target}}した偉人だ。
救助,きゅうじょ,助けること,山で遭難した人をヘリコプターで{{target}}する。
協力,きょうりょく,力を合わせる,みんなで{{target}}して教室を掃除する。
参加,さんか,加わること,地域の夏祭りにボランティアとして{{target}}する。
反対,はんたい,逆のこと,彼の意見には賛成できず、{{target}}の手を挙げた。
賛成,さんせい,同意すること,クラス全員がその提案に{{target}}した。
注意,ちゅうい,気をつけること,足元に{{target}}して歩いてください。
準備,じゅんび,用意すること,明日の遠足の{{target}}をしてから寝る。
整理,せいり,片付けること,机の上を綺麗に{{target}}整頓する。
整頓,せいとん,整えること,整理{{target}}が行き届いた部屋は気持ちがいい。
理解,りかい,分かること,難しい説明だったが、なんとか{{target}}できた。
解決,かいけつ,問題が片付く,話し合いによってトラブルが無事に{{target}}した。
決定,けってい,決まること,次の生徒会長選挙の日程が{{target}}した。
予定,よてい,あらかじめ決める,来週の週末はまだ何も{{target}}が入っていない。
予想,よそう,推測すること,試合の結果は誰にも{{target}}できない。
予習,よしゅう,前もって学ぶ,次の授業の範囲を教科書で{{target}}しておく。
復習,ふくしゅう,おさらいする,家に帰ってから今日の授業の{{target}}をする。
学習,がくしゅう,学ぶこと,ＡＩが過去のデータを{{target}}して賢くなる。
練習,れんしゅう,繰り返して習う,ピアノの発表会に向けて毎日{{target}}する。
試合,しあい,スポーツで競う,サッカーの{{target}}でゴールを決めた。
勝負,しょうぶ,勝ち負け,正々堂々と{{target}}しよう。
優勝,ゆうしょう,１位になる,チーム一丸となって大会で{{target}}した。
選手,せんしゅ,競技をする人,オリンピックの代表{{target}}に選ばれる。
監督,かんとく,指揮する人,映画{{target}}の指示で演技をする。
野球,やきゅう,球技の一つ,甲子園で高校{{target}}を観戦する。
水泳,すいえい,泳ぐこと,夏休みにプールで{{target}}の練習をする。
大金,たいきん,たくさんのお金,宝くじが当たって{{target}}を手にした。
金魚,きんぎょ,観賞魚,夏祭りの{{target}}すくいで三匹とった。
人魚,にんぎょ,伝説の生き物,美しい声で歌う{{target}}姫の物語。
休日,きゅうじつ,休みの日,今度の{{target}}は遊園地に行く予定だ。
祝日,しゅくじつ,お祝いの日,明日は国民の{{target}}で学校が休みだ。
平日,へいじつ,通常の日,{{target}}の昼間なら映画館は空いているだろう。
年号,ねんごう,時代の名,令和という新しい{{target}}になった。
元号,げんごう,年の称号,昭和、平成、令和と{{target}}が変わる。
平成,へいせい,昭和の次,私は{{target}}生まれです。
昭和,しょうわ,大正の次,{{target}}レトロな雰囲気が漂う喫茶店。
大正,たいしょう,明治の次,{{target}}ロマンを感じる着物の柄。
明治,めいじ,江戸の次,{{target}}維新によって日本は近代化した。
江戸,えど,東京の昔の名,{{target}}時代は260年以上続いた。
東京,とうきょう,日本の首都,{{target}}タワーから夜景を見る。
京都,きょうと,古都,{{target}}のお寺を巡る修学旅行。
大阪,おおさか,西の大都市,{{target}}でお好み焼きを食べる。
地方,ちほう,地域,{{target}}によって言葉のアクセントが違う。
都市,とし,栄えた町,人口が集中する大{{target}}で暮らす。
田舎,いなか,静かな場所,夏休みにおばあちゃんの住む{{target}}へ帰省する。
故郷,こきょう,生まれ故郷,{{target}}を離れて10年が経つ。
帰省,きせい,実家に帰る,お盆休みに実家へ{{target}}する。
旅行,りょこう,旅をすること,次の連休は温泉{{target}}に行く計画だ。
観光,かんこう,名所を見る,京都の{{target}}名所をバスで回る。
名所,めいしょ,有名な場所,ここは桜の{{target}}として知られている。
名物,めいぶつ,有名なもの,この土地の{{target}}料理を味わう。
特産,とくさん,その土地の産物,りんごはこの県の{{target}}品だ。
農業,のうぎょう,作物を育てる,祖父は{{target}}を営んでいる。
工業,こうぎょう,物を作る産業,この地域は{{target}}地帯として発展した。
商業,しょうぎょう,物を売る産業,駅前には大きな{{target}}施設がある。
林業,りんぎょう,木を育てる,山を守り育てる{{target}}の仕事。
漁業,ぎょぎょう,魚を獲る,港町では{{target}}が盛んだ。
産業,さんぎょう,生産活動,観光はこの国の主要な{{target}}だ。
生産,せいさん,物を作ること,この工場では自動車を{{target}}している。
消費,しょうひ,使うこと,エネルギーの{{target}}を抑える工夫をする。
輸入,ゆにゅう,外国から買う,海外から原材料を{{target}}する。
輸出,ゆしゅつ,外国へ売る,日本車は世界中に{{target}}されている。
貿易,ぼうえき,国同士の取引,海外との{{target}}摩擦が問題になる。
経済,けいざい,お金の動き,国の{{target}}が成長する。
政治,せいじ,国を治める,選挙に行って{{target}}に参加する。
法律,ほうりつ,国のルール,社会の秩序を守るために{{target}}がある。
選挙,せんきょ,代表を選ぶ,投票所に行って{{target}}の投票をする。
投票,とうひょう,票を入れる,清き一票を{{target}}する。
代表,だいひょう,代わりの人,クラスの{{target}}として会議に出席する。
会議,かいぎ,話し合い,重要なプロジェクトについての{{target}}を開く。
社長,しゃちょう,会社のトップ,会社の経営方針を{{target}}が発表する。
社員,しゃいん,会社の人,新入{{target}}の研修が始まる。
会社,かいしゃ,企業,父は毎日電車で{{target}}に通っている。
職場,しょくば,働く場所,明るく働きやすい{{target}}環境を作る。
仕事,しごと,業務,今日の{{target}}は早めに終わらせる。
作業,さぎょう,手仕事など,工場のラインで組み立て{{target}}を行う。
労働,ろうどう,働くこと,適度な休息は{{target}}の効率を高める。
休憩,きゅうけい,休むこと,一時間ごとに10分の{{target}}を取る。
--- Lv5-8: 3〜4文字・応用 (やりごたえ) ---
衣食住,いしょくじゅう,生活の基本,人間が生活していく上で{{target}}は欠かせない。
松竹梅,しょうちくばい,祝いのランク,お祝いの席で{{target}}の飾りが飾られている。
雪月花,せつげつか,四季の美,日本の四季の美しさを{{target}}という言葉で表現する。
心技体,しんぎたい,武道の精神,武道では{{target}}のバランスが重要視される。
真善美,しんぜんび,理想的価値,芸術家は作品を通して{{target}}を追求する。
安近短,あんきんたん,手軽なレジャー,今年の連休は{{target}}の旅行で済ませる。
無造作,むぞうさ,気取らない,彼はポケットから{{target}}に小銭を取り出した。
無意識,むいしき,意識しない,考え事をしていたら、{{target}}のうちに家に着いていた。
非常識,ひじょうしき,常識がない,夜中に大騒ぎするのは{{target}}な行動だ。
未解決,みかいけつ,終わっていない,その事件は３０年経った今も{{target}}のままだ。
未完成,みかんせい,出来ていない,このサグラダ・ファミリアは長年{{target}}のままだ。
不自然,ふしぜん,自然でない,彼の態度はどこか{{target}}で、何か隠しているようだ。
不自由,ふじゆう,自由でない,怪我をして足が{{target}}な生活を送る。
不機嫌,ふきげん,機嫌が悪い,朝から雨が降っていて、彼は少し{{target}}だ。
不器用,ぶきよう,下手なこと,手先が{{target}}で、折り紙がきれいに折れない。
新幹線,しんかんせん,高速列車,{{target}}に乗って東京から大阪まで移動する。
消防車,しょうぼうしゃ,火を消す車,サイレンを鳴らして{{target}}が現場へ急行する。
救急車,きゅうきゅうしゃ,患者を運ぶ車,体調が悪くなり{{target}}で運ばれた。
警察署,けいさつしょ,警察の建物,拾った財布を近くの{{target}}に届ける。
市役所,しやくしょ,市の機関,引越しの手続きをするために{{target}}へ行く。
図書館,としょかん,本がある所,休日は{{target}}で静かに読書を楽しむ。
映画館,えいがかん,映画を見る所,大きなスクリーンがある{{target}}で新作を見る。
水族館,すいぞくかん,魚がいる所,{{target}}でイルカのショーに感動する。
美術館,びじゅつかん,絵がある所,{{target}}でゴッホの名画を鑑賞する。
博物館,はくぶつかん,展示施設,{{target}}で恐竜の化石を見学する。
冷蔵庫,れいぞうこ,冷やす家電,アイスクリームが溶けないように{{target}}に入れる。
洗濯機,せんたくき,洗う家電,ボタン一つで洗える全自動{{target}}は便利だ。
掃除機,そうじき,吸う家電,ロボット{{target}}が留守の間に部屋をきれいにする。
扇風機,せんぷうき,風を送る家電,エアコンだけでなく{{target}}も使って涼む。
顕微鏡,けんびきょう,拡大する道具,理科の実験で{{target}}を使って細胞を見る。
望遠鏡,ぼうえんきょう,遠くを見る道具,天体{{target}}で月のクレーターを観察する。
一期一会,いちごいちえ,一度きりの縁,この出会いはまさに{{target}}だと思って大切にする。
一石二鳥,いっせきにちょう,二つの利益,運動不足も解消できて節約にもなる、まさに{{target}}だ。
一心不乱,いっしんふらん,集中する,彼は周りの雑音も気にせず、{{target}}に勉強している。
一生懸命,いっしょうけんめい,全力でやる,合格を目指して{{target}}努力する。
一長一短,いっちょういったん,長所と短所,どの案も{{target}}で、なかなか決められない。
右往左往,うおうさおう,混乱する,突然の停電で、人々は{{target}}していた。
花鳥風月,かちょうふうげつ,自然の美,{{target}}を愛でる風流な心を持つ。
起死回生,きしかいせい,逆転する,9回裏のホームランで{{target}}の逆転勝利を収めた。
喜怒哀楽,きどあいらく,感情の変化,彼は{{target}}が激しく、表情がころころ変わる。
興味津々,きょうみしんしん,関心が強い,子供たちは新しいおもちゃに{{target}}だ。
空前絶後,くうぜんぜつご,記録的,この記録的な大ヒットは{{target}}の出来事だ。
五里霧中,ごりむちゅう,迷うこと,手がかりが全くなく、捜査は{{target}}の状態だ。
言語道断,ごんごどうだん,ひどすぎる,お客様に対してそんな態度をとるとは{{target}}だ。
才色兼備,さいしょくけんび,才知と美貌,彼女は頭も良くて美しい、まさに{{target}}だ。
三日坊主,みっかぼうず,続かない,日記を書こうと思ったが、結局{{target}}で終わった。
自画自賛,じがじさん,自分で褒める,自分の描いた絵を見て「天才だ」と{{target}}する。
四苦八苦,しくはっく,苦労する,慣れないパソコン操作に{{target}}しながら資料を作った。
七転八起,ななころびやおき,くじけない,{{target}}の精神で、失敗を恐れずに挑戦し続ける。
十人十色,じゅうにんといろ,人それぞれ,好きな食べ物は{{target}}で、みんな違う。
心機一転,しんきいってん,気持ちを変える,引越しを機に、{{target}}して新しい生活を始める。
誠心誠意,せいしんせいい,心を込める,ミスをしてしまったので、{{target}}謝罪した。
絶体絶命,ぜったいぜつめい,大ピンチ,崖っぷちに追い詰められ、まさに{{target}}の状況だ。
千差万別,せんさばんべつ,様々に違う,人の性格は{{target}}で、同じ人は一人もいない。
大器晩成,たいきばんせい,遅咲き,彼は若い頃は目立たなかったが、典型的な{{target}}型だ。
単刀直入,たんとうちょくにゅう,率直に言う,回りくどい言い方はやめて、{{target}}に要点を話そう。
朝三暮四,ちょうさんぼし,目先のごまかし,そんな提案は{{target}}で、誰も納得しないよ。
電光石火,でんこうせっか,素早い動き,彼は{{target}}の早業でボールを奪い取った。
東奔西走,とうほんせいそう,駆け回る,彼はプロジェクトの成功のために{{target}}している。
日進月歩,にっしんげっぽ,急速な進歩,科学技術は{{target}}の勢いで進化している。
二束三文,にそくさんもん,安値,古本を売りに行ったら、{{target}}で買い叩かれた。
馬耳東風,ばじとうふう,聞き流す,いくら注意しても、彼は{{target}}で全く反省していない。
半面教師,はんめんきょうし,悪い見本,彼のだらしない態度を{{target}}にして、自分は気をつけよう。
風光明媚,ふうこうめいび,景色が良い,京都には{{target}}な観光スポットがたくさんある。
不眠不休,ふみんふきゅう,寝ずにやる,彼は{{target}}で復旧作業にあたった。
平穏無事,へいおんぶじ,穏やか,家族みんなが{{target}}に暮らせることが一番の幸せだ。
抱腹絶倒,ほうふくぜっとう,大笑い,その芸人のコントがあまりに面白く、会場は{{target}}だった。
無味乾燥,むみかんそう,つまらない,数字ばかり並んだ{{target}}な資料を読むのは退屈だ。
明鏡止水,めいきょうしすい,静かな心,試合前、彼は{{target}}の心境で静かに集中していた。
有名無実,ゆうめいむじつ,名ばかり,そのルールは誰も守っておらず、もはや{{target}}だ。
用意周到,よういしゅうとう,準備万端,彼は{{target}}な計画を立てて、旅行に出発した。
利害関係,りがいかんけい,損得,ビジネスにおいて{{target}}の調整は難しい問題だ。
竜頭蛇尾,りゅうとうだび,尻すぼみ,素晴らしい書き出しだったのに、結末が適当で{{target}}な小説だった。
危機一髪,ききいっぱつ,間一髪,ブレーキが間に合い、{{target}}で事故を回避した。
完全燃焼,かんぜんねんしょう,出し切る,最後の試合で負けたが、{{target}}できたので悔いはない。
公明正大,こうめいせいだい,公平で正しい,選挙は{{target}}に行われなければならない。
支離滅裂,しりめつれつ,めちゃくちゃ,興奮していて、彼の言っていることは{{target}}だ。
森羅万象,しんらばんしょう,宇宙の全て,この図鑑には{{target}}の不思議が記されている。
前代未聞,ぜんだいみもん,初めてのこと,夏に雪が降るなんて、{{target}}の珍事だ。
大同小異,だいどうしょうい,ほぼ同じ,二つの案は{{target}}で、どちらを選んでも大差ない。
適材適所,てきざいてきしょ,配置の最適化,彼の才能を見抜き、{{target}}の仕事を任せる。
半信半疑,はんしんはんぎ,疑う気持ち,宇宙人を見たという話を、みんな{{target}}で聞いている。
品行方正,ひんこうほうせい,行いが良い,彼は成績優秀で{{target}}な模範生徒だ。
無我夢中,むがむちゅう,夢中になる,大好きなゲームに{{target}}になっていて、時間を忘れていた。
油断大敵,ゆだんたいてき,油断は禁物,勝っているからといって気を抜くな、{{target}}だぞ。
臨機応変,りんきおうへん,柔軟な対応,マニュアル通りではなく、その場の状況を見て{{target}}に行動しよう。
老若男女,ろうにゃくなんにょ,全ての人,このお祭りは{{target}}問わず誰でも楽しめる。
和洋折衷,わようせっちゅう,和と洋を混ぜる,この部屋は畳にベッドを置いた{{target}}のスタイルだ。
