料理,りょうり,食事を作る,休日は父が手作りの{{target}}を振る舞ってくれる。
話題,わだい,話のネタ,最近ニュースで{{target}}になっている事件。
情報,じょうほう,知らせ,インターネットで最新の{{target}}を集める。
知識,ちしき,知っていること,本を読んで幅広い{{target}}を身につける。
知恵,ちえ,役立つ考え,おばあちゃんの生活の{{target}}を教わる。
常識,じょうしき,当たり前のこと,社会人としての最低限の{{target}}を身につける。
文化,ぶんか,生活様式など,日本の伝統的な{{target}}を海外に紹介する。
文明,ぶんめい,進んだ技術,古代エジプト{{target}}の遺跡を発掘する。
平和,へいわ,安らぎ,世界中が{{target}}になることを願う。
戦争,せんそう,戦い,二度と悲惨な{{target}}を繰り返してはならない。
歴史,れきし,過去の経緯,この町には古い{{target}}がある。
時代,じだい,時の区分,スマートフォンの登場で新しい{{target}}が来た。
世紀,せいき,百年の単位,21{{target}}は宇宙開発が進むだろう。
世界,せかい,地球全体,{{target}}中を旅して回りたい。
国際,こくさい,国と国の間,{{target}}的な交流イベントに参加する。
地球,ちきゅう,私たちの星,美しい{{target}}の環境を守ろう。
環境,かんきょう,取り巻く状況,自然{{target}}を保護する活動に参加する。
自然,しぜん,あるがまま,休日は豊かな{{target}}の中でリフレッシュする。
植物,しょくぶつ,草木,ベランダで観葉{{target}}を育てる。
動物,どうぶつ,生き物,{{target}}園でライオンを見る。
生物,せいぶつ,生きているもの,海洋{{target}}の生態を研究する。
生命,せいめい,命,すべての{{target}}は尊いものだ。
人生,じんせい,人の一生,一度きりの{{target}}を悔いなく生きたい。
人間,にんげん,人,{{target}}は考える葦である。
社会,しゃかい,世の中,学校を卒業して{{target}}に出る。
組織,そしき,組み立て,会社の{{target}}図を見て部署を確認する。
集団,しゅうだん,集まり,渡り鳥が{{target}}で空を飛んでいく。
個人,こじん,一人一人,{{target}}の尊重が大切だ。
自由,じゆう,束縛されない,鳥のように空を{{target}}に飛びたい。
権利,けんり,正当な要求,国民には教育を受ける{{target}}がある。
義務,ぎむ,果たすべきこと,納税は国民の{{target}}だ。
責任,せきにん,引き受けること,自分の行動に{{target}}を持つ。

挨拶,あいさつ,礼儀,大きな声で「おはよう」と{{target}}をする。
綺麗,きれい,美しい,夜空に{{target}}な花火が打ち上がった。
完璧,かんぺき,欠点なし,彼のリハーサルはミス一つない{{target}}なものだった。
繊細,せんさい,細やか,このガラス細工はとても{{target}}な作りをしている。
憂鬱,ゆううつ,晴れない気分,雨が続くと気分が{{target}}になる。
躊躇,ちゅうちょ,ためらう,彼は一瞬{{target}}したが、意を決して扉を開けた。
冒険,ぼうけん,危険を冒す,地図を片手に未知の世界へ{{target}}に出かける。
魔法,まほう,不思議な術,まるで{{target}}にかかったような不思議な体験をした。
奇跡,きせき,不思議な出来事,最後まで諦めなかった結果、逆転勝利の{{target}}が起きた。
英雄,えいゆう,優れた人,国を救った彼は{{target}}として称えられた。
伝説,でんせつ,言い伝え,この湖には古くからの龍の{{target}}がある。
神話,しんわ,神々の話,ギリシャ{{target}}の神々について本で読む。
宇宙,うちゅう,天体の空間,ロケットに乗って広大な{{target}}へ旅立つ。
惑星,わくせい,回る星,地球は太陽系の第三{{target}}だ。
衛星,えいせい,惑星を回る星,月は地球の周りを回る{{target}}だ。
彗星,すいせい,ほうき星,夜空に現れた{{target}}を望遠鏡で観察する。
流星,りゅうせい,流れ星,{{target}}に願い事を3回唱える。
深海,しんかい,深い海,{{target}}にはまだ知られていない生物がたくさんいる。
暗黒,あんこく,真っ暗闇,光の届かない{{target}}の世界を探検する。
透明,とうめい,透き通る,{{target}}な水底に小魚が泳いでいるのが見える。
瞬間,しゅんかん,ごく短い時,シャッターチャンスの{{target}}を逃さない。
永遠,えいえん,いつまでも,この幸せな時間が{{target}}に続けばいいのに。
無限,むげん,限りない,子供の可能性は{{target}}に広がっている。
幻想,げんそう,まぼろし,霧に包まれた森は{{target}}的な雰囲気が漂っている。
情熱,じょうねつ,熱い心,彼は音楽に対して並々ならぬ{{target}}を注いでいる。
覚醒,かくせい,目覚める,ピンチの瞬間に彼の眠っていた才能が{{target}}した。
鼓動,こどう,胸の響き,走った直後で胸の{{target}}が早くなっている。
衝撃,しょうげき,強いショック,そのニュースは世界中に大きな{{target}}を与えた。
運命,うんめい,定め,二人が出会ったのは偶然ではなく{{target}}だったのかもしれない。
革命,かくめい,変革,インターネットの登場は情報の{{target}}だった。
歴史,れきし,過去の歩み,京都には日本の古い{{target}}を感じる建物が多い。
伝統,でんとう,受け継ぐもの,この祭りは数百年続く地元の{{target}}行事だ。
芸術,げいじゅつ,アート,秋は{{target}}を楽しむのに最適な季節だ。
哲学,てつがく,真理の探究,人生とは何かについて深く{{target}}する。
論理,ろんり,筋道,彼の説明は{{target}}的でとても分かりやすい。
構造,こうぞう,仕組み,この建物は地震に強い{{target}}で作られている。
分析,ぶんせき,解き明かす,失敗の原因を{{target}}して次に活かす。
総合,そうごう,まとめ,{{target}}的な判断の結果、このプランを採用することにした。
